Paso 1: q0, Lee: 0 -> Escribe: X, Mueve: R, Nuevo: q1
Paso 2: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 3: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 4: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 5: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 6: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 7: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 8: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 9: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 10: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 11: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 12: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 13: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 14: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 15: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 16: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 17: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 18: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 19: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 20: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 21: q1, Lee: 1 -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 22: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 23: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 24: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 25: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 26: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 27: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 28: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 29: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 30: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 31: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 32: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 33: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 34: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 35: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 36: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 37: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 38: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 39: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 40: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 41: q2, Lee: X -> Escribe: X, Mueve: R, Nuevo: q0
Paso 42: q0, Lee: 0 -> Escribe: X, Mueve: R, Nuevo: q1
Paso 43: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 44: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 45: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 46: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 47: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 48: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 49: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 50: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 51: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 52: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 53: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 54: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 55: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 56: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 57: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 58: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 59: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 60: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 61: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 62: q1, Lee: 1 -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 63: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 64: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 65: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 66: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 67: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 68: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 69: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 70: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 71: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 72: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 73: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 74: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 75: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 76: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 77: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 78: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 79: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 80: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 81: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 82: q2, Lee: X -> Escribe: X, Mueve: R, Nuevo: q0
Paso 83: q0, Lee: 0 -> Escribe: X, Mueve: R, Nuevo: q1
Paso 84: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 85: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 86: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 87: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 88: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 89: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 90: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 91: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 92: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 93: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 94: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 95: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 96: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 97: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 98: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 99: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 100: q1, Lee: 0 -> Escribe: 0, Mueve: R, Nuevo: q1
Paso 101: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 102: q1, Lee: Y -> Escribe: Y, Mueve: R, Nuevo: q1
Paso 103: q1, Lee: 1 -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 104: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 105: q2, Lee: Y -> Escribe: Y, Mueve: L, Nuevo: q2
Paso 106: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 107: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 108: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 109: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 110: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 111: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 112: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 113: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 114: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 115: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 116: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 117: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 118: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 119: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 120: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 121: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 122: q2, Lee: 0 -> Escribe: 0, Mueve: L, Nuevo: q2
Paso 123: q2, Lee: X -> Escribe: X, Mueve: R, Nuevo: q0
Paso 124: q0, Lee: 0 -> Escribe: X, Mueve: R, Nuevo: q1
